original tokens,,edited tokens,deleted tokens,added tokens,replaced tokens,sentences,paragraphs,punctuations,word_punctuation,character names,place names,special words
as,,as,,,,,,,,,,
well,,well,,,,,,,,,,
.,,.,,,,EOS,,end period,w_p_pre,,,
Professor,,Professor,,,,BOS,,,,,,
Flitwick,,Flitwick,,,,,,,,ch_n,,
called,,called,,,,,,,,,,
them,,them,,,,,,,,,,
one,,one,,,,,,,,,,
by,,by,,,,,,,,,,
one,,one,,,,,,,,,,
into,,into,,,,,,,,,,
his,,his,,,,,,,,,,
class,,class,,,,,,,,,,
to,,to,,,,,,,,,,
see,,see,,,,,,,,,,
if,,if,,,,,,,,,,
they,,they,,,,,,,,,,
could,,could,,,,,,,,,,
make,,make,,,,,,,,,,
a,,a,,,,,,,,,,
pineapple,,pineapple,,,,,,,,,,
tapdance,,tapdance,,,,,,,,,,
across,,across,,,,,,,,,,
a,,a,,,,,,,,,,
desk,,desk,,,,,,,,,,
.,,.,,,,EOS,,end period,w_p_pre,,,
Professor,,Professor,,,,BOS,,,,,,
McGonagall,,McGonagall,,,,,,,,ch_n,,uncommon name
watched,,watched,,,,,,,,,,
them,,them,,,,,,,,,,
turn,,turn,,,,,,,,,,
a,,a,,,,,,,,,,
mouse,,mouse,,,,,,,,,,
into,,into,,,,,,,,,,
a,,a,,,,,,,,,,
snuffbox,,snuffbox,,,,,,,,,,magic word
—,,—,,,,,,exp dash,w_p_pre,,,
points,,points,,,,,,,,,,
were,,were,,,,,,,,,,
given,,given,,,,,,,,,,
for,,for,,,,,,,,,,
how,,how,,,,,,,,,,
pretty,,pretty,,,,,,,,,,
the,,the,,,,,,,,,,
snuffbox,,snuffbox,,,,,,,,,,magic word
was,,was,,,,,,,,,,
",",,",",,,,,,comma,w_p_pre,,,
but,,but,,,,,,,,,,
taken,,taken,,,,,,,,,,
away,,away,,,,,,,,,,
if,,if,,,,,,,,,,
it,,it,,,,,,,,,,
had,,had,,,,,,,,,,
whiskers,,whiskers,,,,,,,,,,
.,,.,,,,EOS,,end period,w_p_pre,,,
Snape,,Snape,,,,BOS,,,,ch_n,,uncommon name
made,,made,,,,,,,,,,
them,,them,,,,,,,,,,
all,,all,,,,,,,,,,
nervous,,nervous,,,,,,,,,,
",",,",",,,,,,comma,w_p_pre,,,
breathing,,breathing,,,,,,,,,,
down,,down,,,,,,,,,,
their,,their,,,,,,,,,,
necks,,necks,,,,,,,,,,
while,,while,,,,,,,,,,
they,,they,,,,,,,,,,
tried,,tried,,,,,,,,,,
to,,to,,,,,,,,,,
remember,,remember,,,,,,,,,,
how,,how,,,,,,,,,,
to,,to,,,,,,,,,,
make,,make,,,,,,,,,,
a,,a,,,,,,,,,,
Forgetfulness,,Forgetfulness,,,,,,,,,,magic word pair
potion,,potion,,,,,,,,,,magic word pair
.,,.,,,,EOS,EOP,end period,w_p_pre,,,
Harry,,Harry,,,,BOS,BOP,,,ch_n,,
did,,did,,,,,,,,,,
the,,the,,,,,,,,,,
best,,best,,,,,,,,,,
he,,he,,,,,,,,,,
could,,could,,,,,,,,,,
",",,",",,,,,,comma,w_p_pre,,,
trying,,trying,,,,,,,,,,
to,,to,,,,,,,,,,
ignore,,ignore,,,,,,,,,,
the,,the,,,,,,,,,,
stabbing,,stabbing,,,,,,,,,,
pains,,pains,,,,,,,,,,
in,,in,,,,,,,,,,
his,,his,,,,,,,,,,
forehead,,forehead,,,,,,,,,,
",",,",",,,,,,comma,w_p_pre,,,
which,,which,,,,,,,,,,
had,,had,,,,,,,,,,
been,,been,,,,,,,,,,
bothering,,bothering,,,,,,,,,,
him,,him,,,,,,,,,,
ever,,ever,,,,,,,,,,
since,,since,,,,,,,,,,
his,,his,,,,,,,,,,
trip,,trip,,,,,,,,,,
into,,into,,,,,,,,,,
the,,the,,,,,,,,,,
forest,,forest,,,,,,,,,,
.,,.,,,,EOS,,end period,w_p_pre,,,
Neville,,Neville,,,,BOS,,,,ch_n,,
thought,,thought,,,,,,,,,,
Harry,,Harry,,,,,,,,ch_n,,
had,,had,,,,,,,,,,
a,,a,,,,,,,,,,
bad,,bad,,,,,,,,,,
case,,case,,,,,,,,,,
of,,of,,,,,,,,,,
exam,,exam,,,,,,,,,,
nerves,,nerves,,,,,,,,,,
because,,because,,,,,,,,,,
Harry,,Harry,,,,,,,,ch_n,,
couldn,,couldn’t,,,couldn,,,,,,,
’,,,’,,,,,,,,,
t,,,t,,,,,,,,,
sleep,,sleep,,,,,,,,,,
",",,",",,,,,,comma,w_p_pre,,,
but,,but,,,,,,,,,,
the,,the,,,,,,,,,,
truth,,truth,,,,,,,,,,
was,,was,,,,,,,,,,
that,,that,,,,,,,,,,
Harry,,Harry,,,,,,,,ch_n,,
kept,,kept,,,,,,,,,,
being,,being,,,,,,,,,,
woken,,woken,,,,,,,,,,
by,,by,,,,,,,,,,
his,,his,,,,,,,,,,
old,,old,,,,,,,,,,
nightmare,,nightmare,,,,,,,,,,
",",,",",,,,,,comma,w_p_pre,,,
except,,except,,,,,,,,,,
that,,that,,,,,,,,,,
it,,it,,,,,,,,,,
was,,was,,,,,,,,,,
now,,now,,,,,,,,,,
worse,,worse,,,,,,,,,,
than,,than,,,,,,,,,,
ever,,ever,,,,,,,,,,
because,,because,,,,,,,,,,
there,,there,,,,,,,,,,
was,,was,,,,,,,,,,
a,,a,,,,,,,,,,
hooded,,hooded,,,,,,,,,,
figure,,figure,,,,,,,,,,
dripping,,dripping,,,,,,,,,,
blood,,blood,,,,,,,,,,
in,,in,,,,,,,,,,
it,,it,,,,,,,,,,
.,,.,,,,EOS,,end period,w_p_pre,,,
Maybe,,Maybe,,,,BOS,,,,,,
it,,it,,,,,,,,,,
was,,was,,,,,,,,,,
because,,because,,,,,,,,,,
they,,they,,,,,,,,,,
hadn,,hadn’t,,,hadn,,,,,,,
’,,,’,,,,,,,,,
t,,,t,,,,,,,,,
seen,,seen,,,,,,,,,,
what,,what,,,,,,,,,,
Harry,,Harry,,,,,,,,ch_n,,
had,,had,,,,,,,,,,
seen,,seen,,,,,,,,,,
in,,in,,,,,,,,,,
the,,the,,,,,,,,,,
forest,,forest,,,,,,,,,,
",",,",",,,,,,comma,w_p_pre,,,
or,,or,,,,,,,,,,
because,,because,,,,,,,,,,
they,,they,,,,,,,,,,
didn,,didn’t,,,didn,,,,,,,
’,,,’,,,,,,,,,
t,,,t,,,,,,,,,
have,,have,,,,,,,,,,
scars,,scars,,,,,,,,,,
burning,,burning,,,,,,,,,,
on,,on,,,,,,,,,,
their,,their,,,,,,,,,,
foreheads,,foreheads,,,,,,,,,,
",",,",",,,,,,comma,w_p_pre,,,
but,,but,,,,,,,,,,
Ron,,Ron,,,,,,,,ch_n,,
and,,and,,,,,,,,,,
Hermione,,Hermione,,,,,,,,ch_n,,
didn,,didn’t,,,didn,,,,,,,
’,,,’,,,,,,,,,
t,,,t,,,,,,,,,
seem,,seem,,,,,,,,,,
as,,as,,,,,,,,,,
worried,,worried,,,,,,,,,,
about,,about,,,,,,,,,,
the,,the,,,,,,,,,,
Stone,,Stone,,,,,,,,,,
as,,as,,,,,,,,,,
Harry,,Harry,,,,,,,,ch_n,,
.,,.,,,,EOS,,end period,w_p_pre,,,
The,,The,,,,BOS,,,,,,
idea,,idea,,,,,,,,,,
of,,of,,,,,,,,,,
Voldemort,,Voldemort,,,,,,,,ch_n,,uncommon name
certainly,,certainly,,,,,,,,,,
scared,,scared,,,,,,,,,,
them,,them,,,,,,,,,,
",",,",",,,,,,comma,w_p_pre,,,
but,,but,,,,,,,,,,
he,,he,,,,,,,,,,
didn,,didn’t,,,didn,,,,,,,
’,,,’,,,,,,,,,
t,,,t,,,,,,,,,
keep,,keep,,,,,,,,,,
visiting,,visiting,,,,,,,,,,
them,,them,,,,,,,,,,
in,,in,,,,,,,,,,
dreams,,dreams,,,,,,,,,,
",",,",",,,,,,comma,w_p_pre,,,
and,,and,,,,,,,,,,
they,,they,,,,,,,,,,
were,,were,,,,,,,,,,
so,,so,,,,,,,,,,
busy,,busy,,,,,,,,,,
with,,with,,,,,,,,,,
their,,their,,,,,,,,,,
studying,,studying,,,,,,,,,,
they,,they,,,,,,,,,,
didn,,didn’t,,,didn,,,,,,,
’,,,’,,,,,,,,,
t,,,t,,,,,,,,,
have,,have,,,,,,,,,,
much,,much,,,,,,,,,,
time,,time,,,,,,,,,,
to,,to,,,,,,,,,,
fret,,fret,,,,,,,,,,
about,,about,,,,,,,,,,
what,,what,,,,,,,,,,
Snape,,Snape,,,,,,,,ch_n,,uncommon name
or,,or,,,,,,,,,,
anyone,,anyone,,,,,,,,,,
else,,else,,,,,,,,,,
might,,might,,,,,,,,,,
be,,be,,,,,,,,,,
up,,up,,,,,,,,,,
to,,to,,,,,,,,,,
.,,.,,,,EOS,EOP,end period,w_p_pre,,,
Their,,Their,,,,BOS,BOP,,,,,
very,,very,,,,,,,,,,
last,,last,,,,,,,,,,
exam,,exam,,,,,,,,,,
was,,was,,,,,,,,,,
History,,History,,,,,,,,,,
of,,of,,,,,,,,,,
Magic,,Magic,,,,,,,,,,
.,,.,,,,EOS,,end period,w_p_pre,,,
One,,One,,,,BOS,,,,,,
hour,,hour,,,,,,,,,,
of,,of,,,,,,,,,,
answering,,answering,,,,,,,,,,
questions,,questions,,,,,,,,,,
about,,about,,,,,,,,,,
batty,,batty,,,,,,,,,,
old,,old,,,,,,,,,,
wizards,,wizards,,,,,,,,,,
who,,who’d,,,who,,,,,,,
’,,,’,,,,,,,,,
d,,,d,,,,,,,,,
invented,,invented,,,,,,,,,,
selfstirring,,selfstirring,,,,,,,,,,
cauldrons,,cauldrons,,,,,,,,,,
and,,and,,,,,,,,,,
they,,they’d,,,they,,,,,,,
’,,,’,,,,,,,,,
d,,,d,,,,,,,,,
be,,be,,,,,,,,,,
free,,free,,,,,,,,,,
",",,",",,,,,,comma,w_p_pre,,,
free,,free,,,,,,,,,,
for,,for,,,,,,,,,,
a,,a,,,,,,,,,,
whole,,whole,,,,,,,,,,
wonderful,,wonderful,,,,,,,,,,
week,,week,,,,,,,,,,
until,,until,,,,,,,,,,
their,,their,,,,,,,,,,
exam,,exam,,,,,,,,,,
results,,results,,,,,,,,,,
came,,came,,,,,,,,,,
out,,out,,,,,,,,,,
.,,.,,,,EOS,,end period,w_p_pre,,,
When,,When,,,,BOS,,,,,,
the,,the,,,,,,,,,,
ghost,,ghost,,,,,,,,,,
of,,of,,,,,,,,,,
Professor,,Professor,,,,,,,,,,
Binns,,Binns,,,,,,,,ch_n,,
told,,told,,,,,,,,,,
them,,them,,,,,,,,,,
to,,to,,,,,,,,,,
put,,put,,,,,,,,,,
down,,down,,,,,,,,,,
their,,their,,,,,,,,,,
quills,,quills,,,,,,,,,,
and,,and,,,,,,,,,,
roll,,roll,,,,,,,,,,
up,,up,,,,,,,,,,
their,,their,,,,,,,,,,
parchment,,parchment,,,,,,,,,,
",",,",",,,,,,comma,w_p_pre,,,
Harry,,Harry,,,,,,,,ch_n,,
couldn,,couldn’t,,,couldn,,,,,,,
’,,,’,,,,,,,,,
t,,,t,,,,,,,,,
help,,help,,,,,,,,,,
cheering,,cheering,,,,,,,,,,
with,,with,,,,,,,,,,
the,,the,,,,,,,,,,
rest,,rest,,,,,,,,,,
.,,.,,,,EOS,,end period,w_p_pre,,,
“,,“,,,,BOS,,quote o,w_p_fol,,,
That,,That,,,,,,,,,,
was,,was,,,,,,,,,,
far,,far,,,,,,,,,,
easier,,easier,,,,,,,,,,
than,,than,,,,,,,,,,
I,,I,,,,,,,,,,
thought,,thought,,,,,,,,,,
it,,it,,,,,,,,,,
would,,would,,,,,,,,,,
be,,be,,,,,,,,,,
",”",,",",,,",”",,,comma,w_p_pre,,,
said,,”,,add,,,,quote c,w_p_pre,,,
Hennione,,said,,,,,,,,,,
as,,Hermione,,,Hennione,,,,,ch_n,,
they,,as,,,,,,,,,,
joined,,they,,,,,,,,,,
the,,joined,,,,,,,,,,
crowds,,the,,,,,,,,,,
flocking,,crowds,,,,,,,,,,
out,,flocking,,,,,,,,,,
onto,,out,,,,,,,,,,
the,,onto,,,,,,,,,,
sunny,,the,,,,,,,,,,
grounds,,sunny,,,,,,,,,,
.,,grounds,,,,,,,,,,
“,,.,,,,EOS,,end period,w_p_pre,,,
I,,“,,,,BOS,,quote o,w_p_fol,,,
needn,,I,,,,,,,,,,
’,,needn’t,,,needn,,,,,,,
t,,,’,,,,,,,,,
have,,,t,,,,,,,,,
learned,,have,,,,,,,,,,
about,,learned,,,,,,,,,,
the,,about,,,,,,,,,,
1637,,the,,,,,,,,,,
Werewolf,,1637,,,,,,,,,,
Code,,Werewolf,,,,,,,,,,
of,,Code,,,,,,,,,,
Conduct,,of,,,,,,,,,,
or,,Conduct,,,,,,,,,,
the,,or,,,,,,,,,,
uprising,,the,,,,,,,,,,
of,,uprising,,,,,,,,,,
Elfric,,of,,,,,,,,,,
the,,Elfric,,,,,,,,ch_n,,uncommon name
Eager,,the,,,,,,,,ch_n,,uncommon name
.”,,Eager,,,,,,,,ch_n,,
Hennione,,.,,,.”,,,end period,w_p_pre,,,
always,,”,,add,,EOS,,quote c,w_p_pre,,,
liked,,Hermione,,,Hennione,BOS,,,,ch_n,,
to,,always,,,,,,,,,,
go,,liked,,,,,,,,,,
through,,to,,,,,,,,,,
their,,go,,,,,,,,,,
exam,,through,,,,,,,,,,
papers,,their,,,,,,,,,,
afterward,,exam,,,,,,,,,,
",",,papers,,,,,,,,,,
but,,afterward,,,,,,,,,,
Ron,,",",,,,,,comma,w_p_pre,,,
said,,but,,,,,,,,,,
this,,Ron,,,,,,,,ch_n,,
made,,said,,,,,,,,,,
him,,this,,,,,,,,,,
feel,,made,,,,,,,,,,
ill,,him,,,,,,,,,,
",",,feel,,,,,,,,,,
so,,ill,,,,,,,,,,
they,,",",,,,,,comma,w_p_pre,,,
wandered,,so,,,,,,,,,,
down,,they,,,,,,,,,,
to,,wandered,,,,,,,,,,
the,,down,,,,,,,,,,
lake,,to,,,,,,,,,,
and,,the,,,,,,,,,,
flopped,,lake,,,,,,,,,,
under,,and,,,,,,,,,,
a,,flopped,,,,,,,,,,
tree,,under,,,,,,,,,,
.,,a,,,,,,,,,,
The,,tree,,,,,,,,,,
Weasley,,.,,,,EOS,,end period,w_p_pre,,,
twins,,The,,,,BOS,,,,,,
and,,Weasley,,,,,,,,ch_n,,
Lee,,twins,,,,,,,,,,
Jordan,,and,,,,,,,,,,
were,,Lee,,,,,,,,ch_n,,
tickling,,Jordan,,,,,,,,ch_n,,
the,,were,,,,,,,,,,
tentacles,,tickling,,,,,,,,,,
of,,the,,,,,,,,,,
a,,tentacles,,,,,,,,,,
giant,,of,,,,,,,,,,
squid,,a,,,,,,,,,,
",",,giant,,,,,,,,,,
which,,squid,,,,,,,,,,
was,,",",,,,,,comma,w_p_pre,,,
basking,,which,,,,,,,,,,
in,,was,,,,,,,,,,
the,,basking,,,,,,,,,,
warm,,in,,,,,,,,,,
shallows,,the,,,,,,,,,,
.,,warm,,,,,,,,,,
“,,shallows,,,,,,,,,,
No,,.,,,,EOS,,end period,w_p_pre,,,
more,,“,,,,BOS,,quote o,w_p_fol,,,
studying,,No,,,,,,,,,,
",”",,more,,,,,,,,,,
Ron,,studying,,,,,,,,,,
sighed,,",",,,",”",,,comma,w_p_pre,,,
happily,,”,,add,,,,quote c,w_p_pre,,,
",",,Ron,,,,,,,,ch_n,,
stretching,,sighed,,,,,,,,,,
out,,happily,,,,,,,,,,
on,,",",,,,,,comma,w_p_pre,,,
the,,stretching,,,,,,,,,,
grass,,out,,,,,,,,,,
.,,on,,,,,,,,,,
“,,the,,,,,,,,,,
You,,grass,,,,,,,,,,
could,,.,,,,EOS,,end period,w_p_pre,,,
look,,“,,,,BOS,,quote o,w_p_fol,,,
more,,You,,,,,,,,,,
cheerful,,could,,,,,,,,,,
",",,look,,,,,,,,,,
Harry,,more,,,,,,,,,,
",",,cheerful,,,,,,,,,,
we,,",",,,,,,comma,w_p_pre,,,
’,,Harry,,,,,,,,ch_n,,
ve,,",",,,,,,comma,w_p_pre,,,
got,,we’ve,,,we,,,,,,,
a,,,’,,,,,,,,,
week,,,ve,,,,,,,,,
before,,got,,,,,,,,,,
we,,a,,,,,,,,,,
find,,week,,,,,,,,,,
out,,before,,,,,,,,,,
how,,we,,,,,,,,,,
badly,,find,,,,,,,,,,
we,,out,,,,,,,,,,
’,,how,,,,,,,,,,
ve,,badly,,,,,,,,,,
done,,we’ve,,,we,,,,,,,
",",,,’,,,,,,,,,
there,,,ve,,,,,,,,,
’,,done,,,,,,,,,,
s,,",",,,,,,comma,w_p_pre,,,
no,,there’s,,,there,,,,,,,
need,,,’,,,,,,,,,
to,,,s,,,,,,,,,
worry,,no,,,,,,,,,,
yet,,need,,,,,,,,,,
.”,,to,,,,,,,,,,
Harry,,worry,,,,,,,,,,
was,,yet,,,,,,,,,,
rubbing,,.,,,.”,,,end period,w_p_pre,,,
his,,”,,add,,EOS,EOP,quote c,w_p_pre,,,
forehead,,Harry,,,,BOS,BOP,,,ch_n,,
.,,was,,,,,,,,,,
“,,rubbing,,,,,,,,,,
I,,his,,,,,,,,,,
wish,,forehead,,,,,,,,,,
I,,.,,,,EOS,,p,w_p_pre,,,
knew,,“,,,,BOS,,p,w_p_fol,,,
what,,I,,,,,,,,,,
this,,wish,,,,,,,,,,
means,,I,,,,,,,,,,
'.,,knew,,,,,,,,,,
”,,what,,,,,,,,,,
he,,this,,,,,,,,,,
burst,,means,,,,,,,,,,
out,,!,,,'.,,,p,w_p_pre,,,
angrily,,”,,,,,,p,w_p_pre,,,
.,,he,,,,,,,,,,
“,,burst,,,,,,,,,,
My,,out,,,,,,,,,,
scar,,angrily,,,,,,,,,,
keeps,,.,,,,EOS,,p,w_p_pre,,,
hurting,,“,,,,BOS,,p,w_p_fol,,,
—,,My,,,,,,,,,,
it,,scar,,,,,,,,,,
’,,keeps,,,,,,,,,,
s,,hurting,,,,,,,,,,
happened,,—,,,,,,p,w_p_pre,,,
before,,it’s,,,it,,,,,,,
",",,,’,,,,,,,,,
but,,,s,,,,,,,,,
never,,happened,,,,,,,,,,
as,,before,,,,,,,,,,
often,,",",,,,,,p,w_p_pre,,,
as,,but,,,,,,,,,,
this,,never,,,,,,,,,,
.”,,as,,,,,,,,,,
“,,often,,,,,,,,,,
Go,,as,,,,,,,,,,
to,,this,,,,,,,,,,
Madam,,.,,,.”,,,p,w_p_pre,,,
Pomfrey,,”,,add,,EOS,,p,w_p_pre,,,
",”",,“,,,,BOS,,p,w_p_fol,,,
Hennione,,Go,,,,,,,,,,
suggested,,to,,,,,,,,,,
.,,Madam,,,,,,,,,,
“,,Pomfrey,,,,,,,,,,
I,,",",,,",”",,,p,w_p_pre,,,
’,,”,,add,,,,p,w_p_pre,,,
m,,Hermione,,,Hennione,,,,,,,
not,,suggested,,,,,,,,,,
ill,,.,,,,EOS,,p,w_p_pre,,,
",”",,“,,,,BOS,,p,w_p_fol,,,
said,,I’m,,,I,,,,,,,
Harry,,,’,,,,,,,,,
.,,,m,,,,,,,,,
“,,not,,,,,,,,,,
I,,ill,,,,,,,,,,
think,,",",,,",”",,,p,w_p_pre,,,
it,,”,,add,,,,p,w_p_pre,,,
’,,said,,,,,,,,,,
s,,Harry,,,,,,,,,,
a,,.,,,,EOS,,p,w_p_pre,,,
warning,,“,,,,BOS,,p,w_p_fol,,,
.,,I,,,,,,,,,,
.,,think,,,,,,,,,,
.,,it’s,,,it,,,,,,,
it,,,’,,,,,,,,,
means,,,s,,,,,,,,,
danger,,a,,,,,,,,,,
’,,warning,,,,,,,,,,
s,,.,,,,,,p,w_p_pre,,,
coming,,.,,,,,,p,w_p_pre,,,
.,,.,,,,,,p,w_p_pre,,,
.,,it,,,,,,,,,,
.”,,means,,,,,,,,,,
Ron,,danger’s,,,danger,,,,,,,
couldn,,,’,,,,,,,,,
’,,,s,,,,,,,,,
t,,coming,,,,,,,,,,
get,,.,,,,,,p,w_p_pre,,,
worked,,.,,,,,,p,w_p_pre,,,
up,,.,,,.”,,,p,w_p_pre,,,
",",,”,,add,,EOS,EOP,p,w_p_pre,,,
it,,Ron,,,,BOS,BOP,,,,,
was,,couldn’t,,,couldn,,,,,,,
too,,,’,,,,,,,,,
hot,,,t,,,,,,,,,
.,,get,,,,,,,,,,
“,,worked,,,,,,,,,,
Harry,,up,,,,,,,,,,
",",,",",,,,,,p,w_p_pre,,,
relax,,it,,,,,,,,,,
",",,was,,,,,,,,,,
Hennione,,too,,,,,,,,,,
’,,hot,,,,,,,,,,
s,,.,,,,EOS,,p,w_p_pre,,,
right,,“,,,,BOS,,p,w_p_fol,,,
",",,Harry,,,,,,,,,,
the,,",",,,,,,p,w_p_pre,,,
Stone,,relax,,,,,,,,,,
’,,",",,,,,,p,w_p_pre,,,
s,,Hermione’s,,,Hennione,,,,,,,
safe,,,’,,,,,,,,,
as,,,s,,,,,,,,,
long,,right,,,,,,,,,,
as,,",",,,,,,p,w_p_pre,,,
Dumbledore,,the,,,,,,,,,,
’,,Stone’s,,,Stone,,,,,,,
s,,,’,,,,,,,,,
around,,,s,,,,,,,,,
.,,safe,,,,,,,,,,
Anyway,,as,,,,,,,,,,
",",,long,,,,,,,,,,
we,,as,,,,,,,,,,
’,,Dumbledore’s,,,Dumbledore,,,,,,,
ve,,,’,,,,,,,,,
never,,,s,,,,,,,,,
had,,around,,,,,,,,,,
any,,.,,,,EOS,,p,w_p_pre,,,
proof,,Anyway,,,,BOS,,,,,,
Snape,,",",,,,,,p,w_p_pre,,,
found,,we’ve,,,we,,,,,,,
out,,,’,,,,,,,,,
how,,,ve,,,,,,,,,
to,,never,,,,,,,,,,
get,,had,,,,,,,,,,
past,,any,,,,,,,,,,
Fluffy,,proof,,,,,,,,,,
.,,Snape,,,,,,,,,,
He,,found,,,,,,,,,,
nearly,,out,,,,,,,,,,
had,,how,,,,,,,,,,
his,,to,,,,,,,,,,
leg,,get,,,,,,,,,,
ripped,,past,,,,,,,,,,
off,,Fluffy,,,,,,,,,,
once,,.,,,,EOS,,p,w_p_pre,,,
",",,He,,,,BOS,,,,,,
he,,nearly,,,,,,,,,,
’,,had,,,,,,,,,,
s,,his,,,,,,,,,,
not,,leg,,,,,,,,,,
going,,ripped,,,,,,,,,,
to,,off,,,,,,,,,,
try,,once,,,,,,,,,,
it,,",",,,,,,p,w_p_pre,,,
again,,he’s,,,he,,,,,,,
in,,,’,,,,,,,,,
a,,,s,,,,,,,,,
hurry,,not,,,,,,,,,,
.,,going,,,,,,,,,,
And,,to,,,,,,,,,,
Neville,,try,,,,,,,,,,
will,,it,,,,,,,,,,
play,,again,,,,,,,,,,
Quidditch,,in,,,,,,,,,,
for,,a,,,,,,,,,,
England,,hurry,,,,,,,,,,
before,,.,,,,EOS,,p,w_p_pre,,,
Hagrid,,And,,,,BOS,,,,,,
lets,,Neville,,,,,,,,,,
Dumbledore,,will,,,,,,,,,,
down,,play,,,,,,,,,,
.”,,Quidditch,,,,,,,,,,
Harry,,for,,,,,,,,,,
nodded,,England,,,,,,,,,,
",",,before,,,,,,,,,,
but,,Hagrid,,,,,,,,,,
he,,lets,,,,,,,,,,
couldn,,Dumbledore,,,,,,,,,,
’,,down,,,,,,,,,,
t,,.,,,.”,,,p,w_p_pre,,,
shake,,”,,add,,EOS,EOP,p,w_p_pre,,,
off,,Harry,,,,BOS,BOP,,,,,
a,,nodded,,,,,,,,,,
lurking,,",",,,,,,p,w_p_pre,,,
feeling,,but,,,,,,,,,,
that,,he,,,,,,,,,,
there,,couldn’t,,,couldn,,,,,,,
was,,,’,,,,,,,,,
something,,,t,,,,,,,,,
he,,shake,,,,,,,,,,
’,,off,,,,,,,,,,
d,,a,,,,,,,,,,
forgotten,,lurking,,,,,,,,,,
to,,feeling,,,,,,,,,,
do,,that,,,,,,,,,,
",",,there,,,,,,,,,,
something,,was,,,,,,,,,,
important,,something,,,,,,,,,,
.,,he’d,,,he,,,,,,,
When,,,’,,,,,,,,,
he,,,d,,,,,,,,,
tried,,forgotten,,,,,,,,,,
to,,to,,,,,,,,,,
explain,,do,,,,,,,,,,
this,,",",,,,,,p,w_p_pre,,,
",",,something,,,,,,,,,,
